frame,x,y,ankle_angle,knee_angle,hip_flag,point_type
312,111.53134,180.80344,76.40307866502778,162.37053,1,5
313,107.64738,185.36633,74.09620607512063,163.8519,1,5
314,107.93821,184.30194,74.99695362044952,161.6348,1,5
315,108.197586,184.59163,75.06370972734116,161.63268,1,5
316,108.177185,184.64636,75.04496716128916,161.66754,1,5
317,112.40982,184.82565,79.94822077436132,157.80931,1,5
318,112.23321,185.05873,79.70235294494665,158.23758,1,5
319,112.42107,184.93562,79.92097850582176,158.03696,1,5
320,111.38404,185.01529,80.29594564371392,154.02992,1,5
321,111.30994,185.21945,80.54931431422767,154.01451,1,5
322,111.303955,185.21552,80.5442544456734,154.0159,1,5
323,113.34013,185.33037,83.07512495595388,152.12611,1,5
324,121.98654,187.87503,90.01057942306534,148.06023,1,5
325,122.01024,187.82112,90.06082702067562,147.96533,1,5
326,122.01506,187.80637,90.04160990802832,147.96815,1,5
327,131.72179,188.42647,101.47778977138427,137.42346,1,5
328,131.57343,188.521,101.07530610180169,137.94258,1,5
329,131.52258,188.60973,100.92499012076483,138.06725,1,5
330,137.05829,189.7402,103.7843741825484,137.48985,1,5
331,136.7503,189.59914,103.37353183260953,138.12375,1,5
332,136.93132,189.80331,103.6993111925528,137.92542,1,5
333,137.19069,189.2219,102.83544232672651,141.33826,1,5
334,147.60413,185.81363,109.70888332116283,132.98787,1,5
335,148.22536,185.58755,110.33141014244184,132.68317,1,5
336,147.24057,186.67899,110.15859375722435,133.98703,1,5
337,155.53647,189.88292,113.43393327974633,133.15617,1,5
338,155.56706,189.9401,113.67375935364015,133.08827,1,5
339,155.56253,189.93898,113.78280409673617,133.00151,1,5
340,161.6067,188.22136,117.08009559103316,131.48387,1,4
341,167.74301,189.3901,121.2768052052228,126.70354,1,4
342,168.40303,189.71645,121.63468348961236,126.58852,1,4
343,169.47906,187.42102,122.92729180877929,124.19238,1,3
344,173.36276,188.5976,124.06080059930136,122.65369,1,3
345,173.39363,188.63776,123.9674654321136,122.945404,1,3
346,173.382,188.578,123.9597573200996,122.96674,1,3
347,172.98294,183.33029,124.72882018325676,123.71376,1,3
348,179.92886,194.75821,124.2721055023013,130.23346,1,4
349,179.92532,194.72021,124.27815588887111,130.20975,1,4
350,182.64252,195.78174,123.17570057868703,135.25417,1,4
351,191.35748,193.28949,124.69856243663949,139.03358,1,4
352,190.99863,193.27388,124.60097627023471,138.688,1,4
353,190.98137,193.21463,124.56870804713367,138.80638,1,4
354,196.06218,192.4822,123.86799710123385,143.82191,1,4
355,195.72134,192.59795,123.81452063725807,143.84637,1,4
356,195.7659,192.59003,123.88138173444378,143.75017,1,4
357,199.48312,192.28317,120.91404193713086,153.96335,0,2
358,199.42412,192.29831,120.86583338303163,154.10301,0,2
359,199.48996,192.24266,120.90802747636553,154.05647,0,2
